city,type_sensor,MAE,MSE,RMSE,R2
Aosta,SPS030,5.190525553749632,38.74882797703544,6.224855659132623,0.07970193819339866
Badajoz,OPC-N3,6.004301766437194,85.900653186125,9.268260526448584,0.48712132736210945
Bangalore,PMS5003,3.935602575379778,29.8322005272206,5.461886169375979,0.8525300108681104
Calgary,PMS5003,4.755195699767484,31.729830146350462,5.632923765359377,-0.13201768064287545
Delhi,PMS5003,20.912330187468577,1035.950264038813,32.18618125902501,0.8332681469067419
Hamirpur,PMS5003,5.845703954333574,69.3035034863056,8.324872580784982,0.9516714986785395
Lima_IQAir,IQAir,3.24976046243616,19.647923346028094,4.432597810091515,0.732307267718936
Lima_AIRBEAM,AIRBEAM,5.557421072378474,66.75059049965238,8.170103457096022,0.3841366049192767
Southampton_PMS5003,PMS5003,2.924299099818422,12.543982082787227,3.541748449959035,0.7172068044510769
Southampton_SPS030,SPS030,4.204452184896805,27.44633795786967,5.2389252674446185,0.3821195043919815
