city,sensor,R2
"Aosta, Badajoz",OPC-N3,0.8852112032621191
"Aosta, Bangalore",PMS5003,0.832486924242877
"Aosta, Calgary",PMS5003,0.8388744913475847
"Aosta, Delhi",PMS5003,0.7598489282273355
"Aosta, Hamirpur",PMS5003,0.8370118578763619
"Aosta, Lima",IQAir,-0.8517379591636198
"Aosta, Lima",PMS7003,0.7369301262148716
"Aosta, Southampton",PMS5003,0.6725916031527359
"Aosta, Southampton",SPS030,0.7870353891962836
"Badajoz, Aosta",SPS030,0.7244438427112265
"Badajoz, Bangalore",PMS5003,0.6419484554422337
"Badajoz, Calgary",PMS5003,0.7478349320463056
"Badajoz, Delhi",PMS5003,0.6358621269151175
"Badajoz, Hamirpur",PMS5003,0.7674683650082639
"Badajoz, Lima",IQAir,0.4734549307449666
"Badajoz, Lima",PMS7003,0.07890583749779323
"Badajoz, Southampton",PMS5003,0.5477106248340278
"Badajoz, Southampton",SPS030,0.6666295895577039
"Bangalore, Aosta",SPS030,0.8970707601662894
"Bangalore, Badajoz",OPC-N3,0.8882701857336488
"Bangalore, Calgary",PMS5003,0.8998167185131973
"Bangalore, Delhi",PMS5003,0.8917388923545573
"Bangalore, Hamirpur",PMS5003,0.8925678292069966
"Bangalore, Lima",IQAir,0.872864166272233
"Bangalore, Lima",PMS7003,0.8894458529649145
"Bangalore, Southampton",PMS5003,0.8361583305117579
"Bangalore, Southampton",SPS030,0.868739730914628
"Calgary, Aosta",SPS030,0.9752510681182504
"Calgary, Badajoz",OPC-N3,0.9215981132384357
"Calgary, Bangalore",PMS5003,0.9360103482339162
"Calgary, Delhi",PMS5003,0.7481416733972028
"Calgary, Hamirpur",PMS5003,0.9567507306058546
"Calgary, Lima",IQAir,0.9064961119287076
"Calgary, Lima",PMS7003,0.9583905506030659
"Calgary, Southampton",PMS5003,0.8942559442657222
"Calgary, Southampton",SPS030,0.8594441875333311
"Delhi, Aosta",SPS030,0.8251496855666265
"Delhi, Badajoz",OPC-N3,0.8590241569644327
"Delhi, Bangalore",PMS5003,0.9180539561940815
"Delhi, Calgary",PMS5003,0.9168062656712592
"Delhi, Hamirpur",PMS5003,0.8560615934755228
"Delhi, Lima",IQAir,0.8506730492921197
"Delhi, Lima",PMS7003,0.8279986142901451
"Delhi, Southampton",PMS5003,0.8582111528337883
"Delhi, Southampton",SPS030,0.8461353385252339
"Hamirpur, Aosta",SPS030,0.9681799762650793
"Hamirpur, Badajoz",OPC-N3,0.9732207155971712
"Hamirpur, Bangalore",PMS5003,0.9699541669435546
"Hamirpur, Calgary",PMS5003,0.9739961910894488
"Hamirpur, Delhi",PMS5003,0.9622695140713111
"Hamirpur, Lima",IQAir,0.9695927437657068
"Hamirpur, Lima",PMS7003,0.9739851762087468
"Hamirpur, Southampton",PMS5003,0.9526313552014067
"Hamirpur, Southampton",SPS030,0.9543952063636623
"Lima, Aosta",SPS030,0.8056905489882866
"Lima, Badajoz",OPC-N3,0.7979639755067094
"Lima, Bangalore",PMS5003,0.7879162789176473
"Lima, Calgary",PMS5003,0.7854448194893999
"Lima, Delhi",PMS5003,0.7787568252169309
"Lima, Hamirpur",PMS5003,0.7849658246704384
Lima,IQAir,0.9852360203945308
Lima,PMS7003,0.8162464430945998
"Lima, Southampton",PMS5003,0.7416099271658594
"Lima, Southampton",SPS030,0.7118009553182265
"Lima, Aosta",SPS030,0.7246371163346069
"Lima, Badajoz",OPC-N3,0.7420009390564488
"Lima, Bangalore",PMS5003,0.7173256296521079
"Lima, Calgary",PMS5003,0.7378371117370034
"Lima, Delhi",PMS5003,0.7275937589449112
"Lima, Hamirpur",PMS5003,0.7633764696185298
Lima,IQAir,0.5493240062995891
Lima,PMS7003,0.9912988325466785
"Lima, Southampton",PMS5003,0.7165187449286884
"Lima, Southampton",SPS030,0.742703423957856
"Southampton, Aosta",SPS030,0.9009242583451289
"Southampton, Badajoz",OPC-N3,0.8757326112552565
"Southampton, Bangalore",PMS5003,0.8935768100724889
"Southampton, Calgary",PMS5003,0.9075696571081205
"Southampton, Delhi",PMS5003,0.9059704838048295
"Southampton, Hamirpur",PMS5003,0.9083420372671529
"Southampton, Lima",IQAir,0.8689509602198411
"Southampton, Lima",PMS7003,0.8421621364842813
Southampton,PMS5003,0.974312252378121
Southampton,SPS030,0.9474868677197625
"Southampton, Aosta",SPS030,0.9064198502529198
"Southampton, Badajoz",OPC-N3,0.8973196800420574
"Southampton, Bangalore",PMS5003,0.9041513680220128
"Southampton, Calgary",PMS5003,0.9220737119110511
"Southampton, Delhi",PMS5003,0.9011374564193672
"Southampton, Hamirpur",PMS5003,0.9111660831818085
"Southampton, Lima",IQAir,0.8926274173799176
"Southampton, Lima",PMS7003,0.8671922224987241
Southampton,PMS5003,0.6537575727308039
Southampton,SPS030,0.9773106524419417
